RegionName,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,PRICE/SQ. FT.,POPULATION,UNEMPLOYMENT_RATE,AVERAGE_SALARY/MON,MORTALITY_RATE
Nebraska,0.805555556,0.826118191,0.863913872,0.810185185,0.802445548,0.809688622,0.821531792,0.811359026,0.776217228,0.822481151,0.795631673,0.82189998,0.813918985,1855725,4.0,49760,4.7
Nevada,0.731895223,0.724690459,0.724878935,0.730411687,0.730856544,0.730411687,0.729128691,0.723612622,0.722092116,0.71942446,0.716332378,0.715174129,0.724909078,2752565,11.2,63280,4.8
New Hampshire,1.044386423,1.051446017,1.065246338,1.069064276,1.066132771,1.046650718,1.041327803,1.02970297,1.029411765,1.036941024,1.041666667,1.050163132,1.047678325,1321182,5.5,69667,4.2
New Jersey,1.27785059,1.295541475,1.314800902,1.339545719,1.339285714,1.338858918,1.322751323,1.306313887,1.277777778,1.264980027,1.264880952,1.271929825,1.301209759,8873211,9.3,42558,4.4
New Mexico,0.76433121,0.741839763,0.758272059,0.793650794,0.789820249,0.764831574,0.763748281,0.786538744,0.786666667,0.773579803,0.755995829,0.771954674,0.770935804,2083784,7.1,56448,6.9
New York,1.38,1.3897,1.39666,1.39876,1.40086,1.40999,1.412333,1.412322,1.419872,1.41767,1.423414,1.4241,1.407140083,19602769,8.5,45150,5.0
North Carolina,0.68591692,0.688317719,0.695812808,0.705186533,0.709605929,0.709645262,0.706214689,0.705429671,0.701024328,0.696400626,0.697146563,0.696864111,0.699797097,9746175,9.3,53585,7.4
North Dakota,0.5455,0.54898,0.54978,0.54323,0.5434,0.54565,0.5345,0.539876,0.54122,0.541223,0.54455,0.5545,0.544367417,702087,3.1,46829,6.2
Ohio,0.729166667,0.734317343,0.748583048,0.724213437,0.72,0.734317343,0.731744347,0.728341474,0.715488215,0.720930233,0.736910022,0.721587753,0.72879999,11550839,7.4,44312,7.5
Oklahoma,0.690537084,0.691887989,0.7083901,0.707054074,0.706666036,0.713455994,0.709821429,0.701754386,0.704951857,0.705427317,0.712125713,0.699834211,0.704325516,3817054,5.2,49161,7.5
Oregon,0.827733964,0.839164079,0.854792561,0.850295469,0.856697819,0.867507886,0.86888306,0.859841059,0.827776544,0.851494279,0.852195107,0.872793772,0.8524313,3899116,8.8,51230,5.3
Pennsylvania,0.924429163,0.928322837,0.951864441,0.970731707,0.973684211,0.980392157,0.965535474,0.949928977,0.932611312,0.923956021,0.919117647,0.916052983,0.944718911,12771854,7.8,54554,7.0
Rhode Island,1.214525434,1.211323764,1.193467337,1.223668538,1.234536017,1.22010766,1.239029427,1.21875,1.239029427,1.257861635,1.25,1.279863481,1.231846893,1052901,10.4,43107,6.5
South Carolina,0.741596639,0.750182083,0.756369427,0.756262087,0.765550239,0.76846953,0.76427256,0.759259511,0.76171875,0.762910798,0.752445448,0.755846781,0.757906988,4720760,9.2,48362,7.6
South Dakota,0.730042017,0.638686131,0.662008097,0.697115385,0.705700549,0.678524035,0.606481481,0.610136452,0.695409347,0.737806311,0.727002855,0.695409347,0.682026834,834441,4.3,42764,8.7
Tennessee,0.730644356,0.737321307,0.750459216,0.75257732,0.750137264,0.750577367,0.742614449,0.739247312,0.735294118,0.736153715,0.733445096,0.724085366,0.740213074,6454306,7.8,50740,7
Texas,0.752906977,0.760456274,0.777118331,0.779150994,0.776553106,0.781637717,0.779579418,0.777453839,0.774693351,0.782803181,0.808753568,0.838414634,0.782460116,26071655,6.7,51371,5.8
Utah,0.797679478,0.805658057,0.811688312,0.812925064,0.829875519,0.833333333,0.833333333,0.802767756,0.794797688,0.795454545,0.791565041,0.8,0.809089844,2855782,5.4,57049,4.9
Vermont,0.7199,0.718686,0.71976,0.7198755,0.71365,0.7208,0.721687,0.726786,0.7298,0.7278678,0.73656,0.72879,0.723680192,626444,5.0,52977,4.3
Virginia,0.95,0.952293417,0.96,0.965,0.977653631,0.981228669,0.981513576,0.975800156,0.966841801,0.98,0.988372093,0.992779783,0.972623594,8192048,6.1,61741,6.4
Washington,0.936285599,0.936285599,0.941155096,0.94768893,0.940619298,0.945454545,0.952380952,0.948717949,0.939219002,0.957167832,0.963752809,0.98,0.949060634,6895226,8.1,57573,5.2
West Virginia,0.714285714,0.685395444,0.678681064,0.686916891,0.705645161,0.680061824,0.675279954,0.718720063,0.721194196,0.72859745,0.718015666,0.7125,0.702107786,1856560,7.5,40196,7.3
Wisconsin,0.858369099,0.841836735,0.864290402,0.881895994,0.866669724,0.862745098,0.878787879,0.897580191,0.884955752,0.87890625,0.872448116,0.871611459,0.871674725,5726177,7.0,51059,5.8
Wyoming,0.7545,0.76545,0.7986,0.78654,0.78988,0.7975,0.795774648,0.829545455,0.88290261,0.84486166,0.789601921,0.882352941,0.809792436,576765,5.3,54901,5.2
