RegionName,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,PRICE/SQ. FT.,POPULATION,UNEMPLOYMENT_RATE,AVERAGE_SALARY/MON,MORTALITY_RATE
Alabama,0.632440476,0.625,0.626843658,0.628019324,0.636746729,0.63996587,0.643651258,0.63559322,0.632844478,0.634398496,0.632929685,0.634267289,0.633558374,4843214,6.8,42830,8.7
Alaska,1.153324288,1.137890594,1.132404762,1.136363636,1.166666667,1.211002315,1.25,1.224531616,1.214971044,1.212522046,1.215277778,1.23964497,1.191216643,736705,6.8,71583,6.6
Arizona,0.709148264,0.708789559,0.711662075,0.717213115,0.743243243,0.745880918,0.744047619,0.742901328,0.737742831,0.736404834,0.736017719,0.738984941,0.731003037,6719993,6.8,50068,6.1
Arkansas,0.665804054,0.665054414,0.666360435,0.664599025,0.679205852,0.684306569,0.685786709,0.687708588,0.686813187,0.688070989,0.68278941,0.68,0.678041603,2966912,6.1,41262,7.5
California,1.297281324,1.277266477,1.281467483,1.29617628,1.387070376,1.400922608,1.405071967,1.41723356,1.417004049,1.398963731,1.408450704,1.421933086,1.36740347,38680810,7.5,61933,4.3
Colorado,1,0.98882062,0.998747652,1.008861758,1.032932328,1.05475763,1.041666667,1.044776119,1.049617591,1.050133325,1.043115438,1.044269499,1.029808219,5349648,5.0,61303,4.8
Connecticut,1.233333333,1.238927322,1.259126033,1.268292683,1.292246521,1.3125,1.305555556,1.287128713,1.272727273,1.268115942,1.236044657,1.216740413,1.26589487,3591873,6.6,70048,4.9
Delaware,0.835235921,0.818181818,0.828826531,0.829268293,0.857142857,0.844444444,0.852459016,0.835434947,0.840336134,0.823529412,0.830188679,0.835616438,0.835888708,934948,5.7,59716,6.7
District of Columbia,2.592190889,2.6,2.602230483,2.591792657,2.677376171,2.708070949,2.6875,2.68115942,2.662721893,2.696435717,2.68849003,2.690437888,2.656533842,659005,7.8,47463,
Florida,1.105527638,1.082474227,1.065340909,1.060396496,1.111111111,1.119724376,1.136363636,1.136363636,1.147371293,1.126674787,1.112140871,1.101928375,1.10878478,19888741,6.3,49321,6.1
Georgia,0.649350649,0.646551724,0.649963689,0.652305825,0.662739323,0.662894482,0.667596555,0.667440511,0.664922141,0.664451827,0.668103448,0.670498084,0.660568188,10087231,7.1,69592,7.5
Hawaii,2.175110792,2.132310315,2.131287298,2.131535122,2.279427233,2.288557214,2.252252252,2.233502538,2.255639098,2.231619561,2.31741573,2.375100644,2.233646483,1416349,4.4,47861,4.5
Idaho,0.664136622,0.657894737,0.664177791,0.666271644,0.684150513,0.68418052,0.685234306,0.675,0.681655145,0.675046555,0.681429283,0.675,0.67451476,1633532,4.9,57444,5.5
Illinois,1.159614195,1.138820867,1.130165298,1.124334824,1.189271255,1.199127907,1.207464325,1.2,1.201325601,1.199140225,1.185770751,1.180945347,1.176331716,12867544,7.1,49446,6.6
Indiana,0.708333333,0.705171256,0.704225352,0.706845238,0.718215159,0.711468215,0.714886459,0.718132855,0.715737874,0.717522659,0.710206893,0.704583299,0.711277383,6595233,5.9,53712,7.1
Iowa,0.884491115,0.874221407,0.891530461,0.888157895,0.922114065,0.938086304,0.925731496,0.920679887,0.931034483,0.932735426,0.924092409,0.907258065,0.911677751,3108030,4.3,52504,4.8
Kansas,0.802587331,0.806489435,0.807291667,0.812898774,0.837988827,0.847578348,0.827380952,0.820885812,0.815719671,0.81032413,0.81300813,0.808048301,0.817516781,2899360,4.5,42958,6.3
Kentucky,0.730698529,0.731707317,0.73120915,0.730769231,0.759484975,0.758122442,0.761904762,0.752804142,0.75560673,0.753344968,0.752979415,0.751412429,0.747503674,4413057,6.4,44555,7.1
Louisiana,0.849403122,0.840975992,0.837209302,0.833823529,0.857142857,0.872792785,0.881410256,0.878787879,0.861716301,0.854968285,0.850701983,0.842696629,0.855135743,4647880,6.4,49462,7.5
