RegionName,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,PRICE/SQ. FT.,POPULATION,UNEMPLOYMENT_RATE,AVERAGE_SALARY/MON,MORTALITY_RATE
Alabama,0.642398287,0.635376756,0.635263613,0.639183575,0.64516129,0.646551724,0.646847997,0.640444978,0.637455686,0.638465713,0.641025641,0.64022056,0.640699652,4853875,6.1,44765,8.3
Alaska,1.225702443,1.206616007,1.212522046,1.230138714,1.240208877,1.206896552,1.222222222,1.235379617,1.234896244,1.215277778,1.212321629,1.207410566,1.220799391,737709,6.4,73355,6.9
Arizona,0.741839763,0.755287009,0.770070649,0.789473684,0.79555854,0.798969072,0.793147208,0.790816327,0.790816327,0.791081246,0.793181919,0.798967377,0.78410076,6817565,6.0,51492,5.5
Arkansas,0.682989691,0.681255161,0.697799249,0.705386683,0.700280112,0.696428571,0.712250712,0.704018834,0.699300699,0.697655894,0.696748507,0.699300699,0.697784568,2977853,5.1,41995,7.5
California,1.428571429,1.443695861,1.455717681,1.5,1.515151515,1.534139472,1.548779652,1.556420233,1.5625,1.563820795,1.591332868,1.590909091,1.524253216,38993940,6.2,64500,4.4
Colorado,1.077754011,1.083069379,1.120689655,1.163875109,1.18289354,1.18184511,1.192327631,1.227888738,1.237113402,1.23282967,1.237113402,1.243476732,1.181739698,5448819,3.9,63909,4.6
Connecticut,1.253333333,1.274426508,1.276337123,1.274118449,1.283846872,1.294117647,1.304753029,1.29969419,1.282234957,1.277777778,1.262398557,1.259689922,1.278560697,3584730,5.7,71346,5.6
Delaware,0.853452381,0.85,0.844636015,0.857142857,0.876404494,0.871794872,0.862778934,0.864250614,0.852459016,0.849337021,0.845238095,0.85379556,0.856774155,944076,4.8,61255,9
District of Columbia,2.649631921,2.707390649,2.809917355,2.866920429,2.873991935,2.952738746,2.92509263,2.9,2.877538746,2.847234992,2.841304936,2.815013405,2.838897979,670377,6.9,49426,
Florida,1.10415128,1.113861386,1.115384615,1.117568172,1.157894737,1.171085346,1.172227232,1.203610832,1.19327149,1.204158461,1.218637993,1.213740458,1.165466,20244914,5.4,51244,6.2
Georgia,0.672000915,0.675675676,0.680724161,0.686378036,0.692041522,0.694444444,0.695652174,0.69726903,0.694444444,0.691933241,0.696022727,0.697674419,0.689521732,10199398,6.0,73486,7.8
Hawaii,2.387570225,2.432171595,2.5,2.483529669,2.416666667,2.385496183,2.388535032,2.383939774,2.351282618,2.34962406,2.323529412,2.349256069,2.395966775,1425157,3.6,48275,5.9
Idaho,0.675675676,0.682039695,0.695124565,0.695,0.695532695,0.697471665,0.699859389,0.702270816,0.68981922,0.6875,0.687879555,0.694722222,0.691907958,1652828,4.2,59588,4.6
Illinois,1.181994371,1.186372127,1.203196393,1.217248284,1.225858349,1.212885278,1.217988757,1.219304891,1.206957756,1.198777248,1.202472777,1.2,1.206088019,12839047,5.9,50532,6
Indiana,0.70546954,0.712719298,0.72815534,0.733735732,0.730795377,0.732217573,0.731586217,0.731578947,0.729349736,0.72737069,0.731624515,0.725069061,0.726639335,6612768,4.8,54736,7.3
Iowa,0.904255319,0.908746817,0.951787199,0.951787199,0.975970644,0.963636364,0.954529792,0.951787199,0.944333453,0.942386831,0.942386831,0.956175299,0.945648579,3121997,3.8,53906,4.2
Kansas,0.826419719,0.826430688,0.842911877,0.867768595,0.875,0.860655738,0.854014617,0.844748858,0.829383886,0.82739329,0.833333333,0.825825826,0.842823869,2906721,4.2,45215,5.9
Kentucky,0.761494253,0.774478838,0.777475493,0.779686729,0.780612245,0.789307549,0.795454545,0.783442515,0.774007894,0.764596849,0.777115126,0.784285714,0.778496479,4424611,5.3,45727,6.7
Louisiana,0.844673862,0.85,0.855415327,0.883190883,0.898081388,0.889998781,0.875,0.866706515,0.868055556,0.862068966,0.872601917,0.868521058,0.869526188,4668960,6.3,51494,7.7
Maine,1.016156463,1.031683666,1.155273142,1.056014692,1.147098516,1.172619048,1.134615385,1.083333333,1.094041783,1.166666667,1.058873359,1.02194773,1.094860315,1329453,4.4,75847,6.6
Maryland,1.233766234,1.246875,1.256366723,1.267482517,1.275303644,1.277412281,1.282051282,1.274545506,1.251115196,1.25,1.25,1.25,1.259576532,5994983,5.1,70628,6.7
Massachusetts,2.3778898,2.445705771,2.523809524,2.587064677,2.613503173,2.634091248,2.590275263,2.512359203,2.375478927,2.266483516,2.288135593,2.328767123,2.461963651,6784240,4.9,51084,4.3
Michigan,0.869565217,0.875273523,0.887573964,0.895765472,0.896624473,0.898203593,0.906892382,0.905606036,0.904040404,0.907494145,0.90625,0.905172414,0.896538469,9917715,5.4,63488,6.6
Minnesota,1.120463898,1.123251748,1.136363636,1.14923661,1.157474601,1.1625,1.156987296,1.143092105,1.15,1.1424091,1.142798208,1.16468039,1.145771466,5482435,3.7,40593,5.2
Mississippi,0.68908638,0.693155452,0.700934579,0.709297588,0.706931348,0.701160542,0.703182828,0.714285714,0.705893995,0.703918405,0.702792607,0.700215517,0.702571246,2989390,6.4,50238,9.3
Missouri,0.778769841,0.783341902,0.785471744,0.779967159,0.792564661,0.808497937,0.781777278,0.788751715,0.789205703,0.786451613,0.784518828,0.770308123,0.785802209,6076204,5.0,49509,6.5
Montana,0.909468439,0.893980234,0.893980234,0.902274002,0.919023275,0.949094047,0.941422594,0.929961089,0.940114975,0.919553721,0.925568977,0.890646492,0.917924006,1032073,4.2,54996,6
Nebraska,0.925076323,0.923076923,0.940917635,0.933701657,0.970873786,0.981802072,0.963636364,0.951374207,0.928115884,0.938133874,0.925462963,0.946078431,0.944020843,1893765,3.0,52431,5.7
Nevada,0.734870317,0.739503817,0.749625187,0.759050219,0.756726457,0.763665595,0.767970255,0.772356889,0.77160972,0.76786769,0.76661566,0.769897543,0.759979946,2883758,6.8,70303,5.2
New Hampshire,1.041666667,1.059607181,1.090560796,1.095238095,1.081081081,1.100232874,1.099572389,1.084574986,1.074549264,1.110124334,1.106944444,1.103752759,1.087325406,1330111,3.4,72222,4.2
New Jersey,1.336668885,1.351351351,1.398601399,1.433089131,1.441677588,1.425438596,1.412802448,1.388888889,1.366120219,1.362821983,1.35371179,1.355105366,1.385523137,8935421,5.8,45382,4.7
New Mexico,0.755088641,0.757217227,0.775,0.778911565,0.77826087,0.785714286,0.788192331,0.795572466,0.78814628,0.788401736,0.783203951,0.79229524,0.780500383,2080328,6.6,60850,5.1
New York,1.34768,1.3478,1.35567,1.32456567,1.3178768,1.33678,1.3667978,1.3567,1.34,1.356,1.312456,1.34356,1.342157189,19747183,5.3,47830,4.6
North Carolina,0.703703704,0.70641991,0.713768116,0.72109067,0.72258533,0.722060958,0.721065641,0.716845878,0.712589074,0.714467977,0.715944272,0.719572368,0.715842825,10035186,5.8,60557,7.3
North Dakota,0.994186047,1.165254237,1.073076923,1.093965517,1.15144879,1.198963059,1.213114754,1.18694362,1.128181818,1.059312764,1.021840806,0.967741935,1.104502523,756835,2.8,51075,7.2
Ohio,0.771604938,0.780785529,0.795482884,0.804689844,0.811176307,0.806392359,0.804878049,0.812423842,0.809199319,0.807692308,0.811827062,0.811111111,0.802271963,11605090,4.9,48568,7.2
Oklahoma,0.755429651,0.761327713,0.778382067,0.787470726,0.789593907,0.789955654,0.785,0.780762024,0.767326733,0.76346672,0.762851447,0.766968457,0.774044591,3907414,4.4,54148,7.3
Oregon,0.961098599,0.977552498,0.995454545,1.012579736,1.021094475,1.01993865,1.037083595,1.041376509,1.041666667,1.044704594,1.042068837,1.051045889,1.02047205,4024634,5.6,55702,5.1
Pennsylvania,0.947368421,0.959079284,0.99009901,1.014633267,1.025752946,1.026045777,1.021039604,1,0.984664454,0.9765625,0.967199327,0.964167307,0.989717658,12791904,5.3,58073,6.1
Rhode Island,1.293661061,1.333333333,1.377952756,1.428571429,1.402712066,1.356895041,1.334735515,1.304090101,1.287927242,1.295292706,1.295168394,1.334269663,1.337050775,1055607,6.0,47238,5.6
South Carolina,0.794842734,0.800492611,0.80778665,0.813137755,0.817444032,0.821419108,0.817191283,0.829787234,0.81650036,0.814675578,0.820425944,0.823421775,0.814760422,4894834,6.0,53017,7
South Dakota,0.795454545,0.807190191,0.884353741,0.917745449,0.815473476,0.790494665,0.847545066,0.855526161,0.833333333,0.827067669,0.878533231,0.871173469,0.843657583,857919,3.1,47275,7.3
Tennessee,0.732038071,0.729786852,0.736439761,0.73926868,0.735402809,0.73662738,0.740131579,0.742719359,0.740131579,0.742827869,0.746753247,0.746681351,0.739067378,6595056,5.6,55653,7
Texas,0.822481151,0.828970332,0.837057728,0.849939247,0.856512114,0.86377709,0.863990963,0.862573099,0.857400722,0.856715672,0.85978836,0.859349079,0.851546296,27429639,4.5,55775,5.7
Utah,0.877192982,0.9,0.904159132,0.901662825,0.908746817,0.894187779,0.883333333,0.88883372,0.902777778,0.891067097,0.888995114,0.89210907,0.894422137,2990632,3.6,62912,5.1
Vermont,0.75468,0.78789,0.79678,0.78234,0.79234,0.78567,0.753678,0.78908,0.78657,0.79756,0.78456,0.78345,0.782883167,626088,3.6,56990,4.6
Virginia,1.003344482,1.014551572,1.027855757,1.041666667,1.048734153,1.054481547,1.048387097,1.049107143,1.042791704,1.034858388,1.030585106,1.02319236,1.034962998,8367587,4.5,66262,5.9
Washington,0.998,1.005172414,1.027900147,1.036697248,1.055776892,1.065137724,1.073407202,1.072930867,1.07278481,1.07879925,1.066239316,1.077586207,1.052536006,7160290,5.6,64129,4.9
West Virginia,0.738255034,0.748772175,0.776476793,0.768836696,0.764305589,0.771388499,0.75,0.75,0.740546218,0.729528352,0.744773487,0.749175974,0.752671568,1841053,6.8,42019,7.2
Wisconsin,0.888198758,0.907558872,0.95,0.938841202,0.932578308,0.940023456,0.945399444,0.942731278,0.92936803,0.927988122,0.925110132,0.923102519,0.929241677,5767891,4.6,55638,5.8
Wyoming,0.966157205,0.930014951,0.974025974,0.972803347,1.005318709,1.021711367,1.012017086,0.986842105,1,1.007194245,0.977482696,0.921537864,0.981258796,586555,4.2,60214,5
