RegionName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,PRICE/SQ. FT.,POPULATION,UNEMPLOYMENT_RATE,AVERAGE_SALARY/MON,MORTALITY_RATE
Alabama,0.631313131,0.636363636,0.641301193,0.645833333,0.64,0.63651048,0.641025641,0.64484127,0.645697832,0.643618978,0.632540318,0.637019231,0.639672087,4829479,7.2,42849,8.6
Alaska,1.128930818,1.214509628,1.211741475,1.200961538,1.21361186,1.198501873,1.171875,1.186131387,1.222222222,1.220316623,1.188400361,1.164483261,1.193473837,736879,6.9,72237,5.6
Arizona,0.722038021,0.726205192,0.730042017,0.734240062,0.728275875,0.727272727,0.731497418,0.718599034,0.727185747,0.718282655,0.709821429,0.714285714,0.723978824,6624617,7.7,48510,5.3
Arkansas,0.651746188,0.66106403,0.655841369,0.672753484,0.67649055,0.677113587,0.666666667,0.651577503,0.65055157,0.665829146,0.665301945,0.663349917,0.663190496,2958663,7.3,40511,7.6
California,1.283701183,1.314016173,1.32837407,1.297738228,1.266666667,1.288461538,1.316079295,1.310717039,1.306970509,1.29444791,1.269149283,1.29950495,1.29798557,38335203,8.9,60190,4.8
Colorado,1.018305264,1.0411055,1.039325843,1.031034483,0.999259808,0.99469496,1,1,0.995,0.982142857,0.986218521,0.988980716,1.006338996,5267603,6.8,58823,5.1
Connecticut,1.206730129,1.219208758,1.238938053,1.260504202,1.282051282,1.279193732,1.258521251,1.262825572,1.270417423,1.26146789,1.25,1.229709788,1.251630673,3596003,7.8,67098,4.7
Delaware,0.8125,0.823529412,0.820512821,0.825069547,0.823529412,0.841269841,0.852419984,0.837387626,0.832257156,0.82987013,0.833333333,0.838917897,0.830883097,925395,6.7,57846,6.3
District of Columbia,2.866972477,2.962483829,3,2.916666667,2.721943049,2.800639096,2.891593492,2.866428892,2.801724138,2.736828774,2.725204732,2.692778458,2.831938634,649165,8.5,46036,6.8
Florida,1.071428571,1.081223629,1.097222222,1.091703057,1.071975498,1.072222222,1.120448179,1.086956522,1.109846329,1.118210863,1.121794872,1.125,1.097335997,19582022,7.2,47829,6.2
Georgia,0.659908612,0.672207139,0.672792828,0.674869843,0.658831909,0.662378646,0.666920732,0.665924684,0.665714286,0.657925408,0.654250799,0.652610442,0.663694611,9984938,8.2,68020,6.9
Hawaii,2.218624401,2.216728893,2.25,2.259489603,2.236842105,2.256699577,2.199074074,2.133333333,2.17059576,2.134911009,2.099737533,2.170138889,2.195514598,1406481,4.9,46783,6.5
Idaho,0.65,0.654200949,0.676685969,0.681818182,0.684210526,0.666666667,0.672920065,0.6765625,0.686109914,0.661418446,0.666946309,0.665024631,0.67021368,1612011,6.1,56210,5.6
Illinois,1.488095238,1.435897436,1.465158872,1.444892473,1.388888889,1.333333333,1.387970919,1.37195122,1.30952381,1.163182738,1.153846154,1.171445349,1.342848869,12879505,9.1,47529,6.0
Indiana,0.677083333,0.694444444,0.702702703,0.696480938,0.694444444,0.702426564,0.704545455,0.706194641,0.705218618,0.704104434,0.702247191,0.703834511,0.699477273,6569102,7.7,52229,7.2
Iowa,0.856807512,0.870901639,0.873015873,0.874233129,0.872229141,0.879487633,0.892098556,0.897504936,0.901211,0.904159132,0.881410256,0.900994318,0.883671094,3091930,4.7,50972,4.1
Kansas,0.78125,0.791666667,0.805896016,0.833333333,0.859447444,0.854101967,0.837897796,0.829478576,0.817628205,0.826947637,0.797018349,0.803972444,0.819886536,2892821,5.3,43399,6.4
Kentucky,0.722222222,0.722222222,0.726315789,0.727272727,0.731139994,0.728571429,0.72859745,0.737346939,0.74433657,0.746799431,0.73,0.734976359,0.731650094,4400477,8.1,44164,6.4
Louisiana,0.812274368,0.833333333,0.830889541,0.839522906,0.866686591,0.875,0.884955752,0.88718678,0.866488652,0.82,0.838150289,0.846153846,0.850053505,4626402,6.7,46974,8.7
Maine,0.983333333,0.927835052,0.942460317,0.991545419,1,0.99375,1,0.994387438,0.990148543,0.970788913,0.988748113,0.958588957,0.978465507,1329076,6.6,72483,7.0
Maryland,1.213592233,1.227678571,1.246376812,1.242338619,1.231060606,1.228070175,1.241534989,1.231716705,1.232567992,1.224944321,1.21701824,1.223684211,1.230048623,5931129,6.6,66768,6.6
Massachusetts,1.915945612,2,2.083333333,2.244047244,2.297650953,2.241112828,2.315685011,2.201407212,2.142857143,2.165714286,2.075471698,2.150769231,2.152832879,6706786,6.7,48273,4.2
Michigan,0.813976744,0.824074074,0.833333333,0.833333333,0.840336134,0.844594595,0.849952517,0.855629515,0.854037267,0.854700855,0.847457627,0.852826511,0.842021042,9898982,8.8,60702,7.0
Minnesota,1.075134409,1.064471243,1.092489549,1.103496371,1.10111576,1.094196004,1.090909091,1.1044933,1.1,1.073076923,1.03289977,1.065258637,1.083128421,5418521,5.0,37963,5.0
Mississippi,0.702665948,0.700458527,0.713399504,0.715142857,0.714285714,0.713887748,0.710843373,0.70951586,0.69786992,0.698902014,0.691250149,0.686591276,0.704567741,2990482,8.6,46931,9.7
Missouri,0.778388278,0.78125,0.793650794,0.788888889,0.784023669,0.787156422,0.795,0.790929204,0.786713287,0.783997897,0.773195876,0.761258652,0.783704414,6042711,6.7,46972,6.5
Montana,0.881708972,0.82048732,0.910823171,0.894763328,0.916307471,0.913516337,0.926666667,0.898871528,0.916317992,0.849762067,0.783972346,0.795,0.8756831,1014314,5.4,51440,5.7
Nebraska,0.837629584,0.851273624,0.868076858,0.86809816,0.878945266,0.88682011,0.88682011,0.890025359,0.869845361,0.859278282,0.885416667,0.901287022,0.873626367,1868559,3.8,51230,5.3
Nevada,0.716644852,0.717178939,0.721404321,0.726141079,0.727713766,0.727032386,0.730555119,0.729296568,0.728184922,0.724675325,0.720673077,0.718360996,0.723988446,2786464,9.6,64230,5.5
New Hampshire,1.049180328,1.084544667,1.090909091,1.104354412,1.105263158,1.099242424,1.103780016,1.100429311,1.088235294,1.109057453,1.097178683,1.081235012,1.092784154,1322687,5.1,70165,5.6
New Jersey,1.282051282,1.298701299,1.330671989,1.359388275,1.37294704,1.344827586,1.353768306,1.346892053,1.322786672,1.284363039,1.271186441,1.283951322,1.320961275,8899162,8.2,43872,4.5
New Mexico,0.764705882,0.768776141,0.772558714,0.782997763,0.782523722,0.78081647,0.768169121,0.784261242,0.778619529,0.765957447,0.756654644,0.75952381,0.772130374,2085193,7.0,57369,5.5
New York,1.38,1.376,1.365,1.3789,1.3767,1.356,1.412,1.4009,1.41212,1.41212,1.42321,1.4123,1.392104167,19673546,7.7,45906,4.9
North Carolina,0.697586727,0.71787509,0.716440422,0.709001233,0.708382527,0.709219858,0.711084539,0.705128205,0.705114911,0.698937278,0.69754373,0.69493007,0.705937049,9841590,8.0,55759,7.0
North Dakota,0.567,0.5614546,0.56877,0.577655,0.5875,0.587546,0.587657,0.58525,0.57656,0.57686,0.57975,0.57646,0.577705217,724019,2.9,48081,6.1
Ohio,0.718936584,0.722222222,0.738188976,0.743968549,0.754961173,0.75,0.75,0.756284418,0.77170304,0.768608414,0.745,0.774393392,0.749522231,11570022,7.5,45690,7.3
Oklahoma,0.699823944,0.705128205,0.714869759,0.721153846,0.730864658,0.729046206,0.731981982,0.725511085,0.728941685,0.738461538,0.746569814,0.745950554,0.726525273,3852415,5.3,50251,6.8
Oregon,0.870114429,0.881709564,0.89438501,0.898587933,0.8994004,0.91272105,0.913461538,0.918918919,0.913793103,0.898876404,0.901745317,0.906287787,0.900833455,3925751,7.9,52007,5.0
Pennsylvania,0.92693566,0.944444444,0.966183575,0.991177537,1.012866178,1.020408163,1,0.9765625,0.958333333,0.940741689,0.933076278,0.925925926,0.96638794,12781338,7.4,55902,6.7
Rhode Island,1.276318772,1.274509804,1.25,1.268742791,1.25,1.235378464,1.25,1.221253818,1.205303529,1.225952645,1.222222222,1.211453744,1.240927983,1053033,9.2,44163,6.5
South Carolina,0.764423077,0.766697646,0.772847735,0.784313725,0.786352499,0.792262851,0.797101449,0.793184489,0.790621592,0.776397516,0.766666667,0.776549093,0.780618195,4767894,7.6,48947,6.8
South Dakota,0.706780271,0.722090243,0.76040555,0.773745998,0.786713287,0.74608818,0.775071757,0.875,0.776397516,0.776397516,0.718168113,0.799615946,0.768039531,844922,3.8,44297,6.5
Tennessee,0.731984676,0.722950738,0.730882727,0.739247312,0.743462288,0.731981982,0.735863672,0.733724136,0.726807889,0.723450302,0.723350254,0.71942446,0.73026087,6494821,7.8,51704,7
Texas,0.810966258,0.851980115,0.827205882,0.857142857,0.849887719,0.813871196,0.847222222,0.858369099,0.825,0.786163522,0.79006772,0.789309014,0.8255988,26473525,6.2,52250,5.8
Utah,0.796563422,0.815789474,0.829,0.833868207,0.845067382,0.855087784,0.860467347,0.875912409,0.887345679,0.884012271,0.858029506,0.854392664,0.849628012,2902663,4.6,59770,5.2
Vermont,0.71999,0.7190897,0.7198668,0.720565,0.72134,0.72134576,0.721343,0.72976,0.725674,0.7242,0.7221,0.79,0.727939522,627140,4.4,52578,4.4
Virginia,0.98769637,1,1.016948931,1.016905072,1.008858268,1.006944444,1.013285867,1.008221226,1.006014684,1.002516779,0.989583333,1.00708502,1.005338333,8262692,5.7,62666,6.2
Washington,0.976522559,0.989795918,1.002506266,1,0.97218573,0.967438778,0.978856695,0.986565911,0.968446602,0.954861111,0.946088795,0.944729783,0.973999846,6968006,7.0,58405,4.5
West Virginia,0.69145286,0.716234652,0.745833333,0.741666667,0.738916256,0.739531121,0.749464668,0.726256983,0.718085106,0.718085106,0.715990453,0.709723565,0.725936731,1853231,6.8,41253,7.6
Wisconsin,0.868617684,0.87890625,0.882352941,0.896487985,0.933110368,0.916666667,0.90625,0.915511715,0.897065958,0.887764467,0.900677201,0.909090909,0.899375179,5742854,6.7,51467,6.2
Wyoming,0.904605263,0.913980871,0.902412869,0.949667616,0.966112878,0.907225075,0.819441633,0.877192982,0.992283951,0.969874078,0.868897324,0.886001181,0.91314131,582684,4.7,58752,4.6
