RegionName,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,PRICE/SQ. FT.,POPULATION,UNEMPLOYMENT_RATE,AVERAGE_SALARY/MON,MORTALITY_RATE,NA POPULATION,NA PRICE/SQ. FT.,NA UNEMPLOYMENT_RATE,NA AVERAGE_SALARY/MON,NA MORTALITY_RATE
South Carolina,0.832100592,0.844594595,0.850099246,0.85313833,0.867801744,0.860957643,0.862068966,0.853174603,0.846188928,0.843253968,0.848214286,0.843915344,0.85045902,4961119,4.8,49501,6.7,2325915,1.0668,4.7,58143,6.0411
Alabama,0.647779253,0.64743967,0.651278409,0.64612326,0.644329897,0.665541807,0.67070102,0.669642857,0.64277602,0.660744323,0.665154757,0.64728531,0.654899715,4863300,6.0,46257,8.6,2231801,1.0668,4.7,58143,6.0411
Louisiana,0.873616773,0.870105992,0.883870968,0.892857143,0.9,0.896345715,0.909090909,0.909090909,0.898871528,0.886894979,0.870511425,0.875,0.888854695,4681666,6.1,45146,8.1,2134338,1.0668,4.7,58143,6.0411
Kentucky,0.786564626,0.78125,0.792141952,0.796950797,0.804228111,0.795454545,0.805739514,0.796,0.796703297,0.792079208,0.7960199,0.803036957,0.795514076,4436974,5.0,46659,6.7,2036364,1.0668,4.7,58143,6.0411
Oregon,1.062222222,1.086956522,1.102941176,1.11195542,1.110863758,1.093850547,1.122635718,1.134252624,1.132575758,1.097801369,1.101460876,1.08979367,1.103942472,4093465,4.9,57532,5,1940340,1.0668,4.7,58143,6.0411
Oklahoma,0.771730301,0.780707179,0.784220532,0.787712895,0.792613636,0.793021412,0.785803872,0.781165541,0.765306122,0.753783469,0.759577279,0.761281274,0.776410293,3923561,4.9,49176,7.5,1850626,1.0668,4.7,58143,6.0411
Connecticut,1.268391679,1.294248173,1.319444444,1.307189542,1.293103448,1.278409091,1.279069767,1.267605634,1.267605634,1.268575738,1.224489796,1.257932232,1.277172098,3576452,5.1,73433,4.8,1760498,1.0668,4.7,58143,6.0411
Iowa,0.963446656,0.978135788,0.981262327,0.981262327,0.977798908,0.96445797,0.965152566,0.974025974,0.943396226,0.948231676,0.993349958,0.959259259,0.969148303,3134693,3.7,56247,4.5,1677955,1.0668,4.7,58143,6.0411
Utah,0.870295699,0.889101338,0.911339828,0.905263158,0.927487352,0.925005827,0.936037441,0.948256468,0.942101996,0.923076923,0.924339757,0.931677019,0.919498567,3051217,3.4,65977,5,1608587,1.0668,4.7,58143,6.0411
Mississippi,0.708030477,0.717131474,0.727272727,0.728536894,0.726475289,0.732600733,0.724781073,0.730337079,0.738492254,0.736127784,0.747477833,0.734725445,0.729332422,2988726,5.8,41754,8.9,1536455,1.0668,4.7,58143,6.0411
Arkansas,0.702775967,0.710167939,0.719967141,0.714627314,0.726737362,0.721034311,0.721370604,0.710431813,0.703583454,0.70389504,0.715102975,0.70837994,0.713172822,2988248,4.0,44334,7.6,1460020,1.0668,4.7,58143,6.0411
Nevada,0.774543026,0.78525641,0.798446267,0.793504902,0.796402412,0.80552359,0.802286397,0.808340198,0.8037019,0.804000862,0.802777438,0.794547872,0.797444273,2940058,5.7,55180,5.5,1375118,1.0668,4.7,58143,6.0411
Kansas,0.845218069,0.852272727,0.857618543,0.866082509,0.882843137,0.868055556,0.845582812,0.843838277,0.843237154,0.828729282,0.823917137,0.829268293,0.848888625,2907289,4.2,54935,6.4,1283063,1.0668,4.7,58143,6.0411
New Mexico,0.790103135,0.790816327,0.802685372,0.791640279,0.813636364,0.808538163,0.814400439,0.81809872,0.807903844,0.811688312,0.811450478,0.798411558,0.804947749,2081015,6.7,46748,5.4,1181549,1.0668,4.7,58143,6.0411
Nebraska,0.926666667,0.94558647,0.969365566,0.967982666,0.952573976,0.981996727,0.947625866,0.984042553,0.967261905,0.950520833,0.975359343,0.94920472,0.959848941,1907116,3.2,56927,5.2,1121584,1.0668,4.7,58143,6.0411
West Virginia,0.757575758,0.765306122,0.804924242,0.794129306,0.757958075,0.762795276,0.75,0.754952114,0.75862069,0.736358734,0.739503878,0.733995967,0.75967668,1831102,6.0,43385,7.3,1065475,1.0668,4.7,58143,6.0411
Idaho,0.702567365,0.710526316,0.710714286,0.722222222,0.722222222,0.729166667,0.716845878,0.744416873,0.730958231,0.738883399,0.734796817,0.733333333,0.724721134,1683140,3.8,51807,5.5,1006581,1.0668,4.7,58143,6.0411
Hawaii,2.386058981,2.419868502,2.42510699,2.456140351,2.481389578,2.41680685,2.4487166,2.41046832,2.309782609,2.293064877,2.275064871,2.387267905,2.392478036,1428557,3.0,74511,5.5,950201,1.0668,4.7,58143,6.0411
