RegionName,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,PRICE/SQ. FT.,POPULATION,UNEMPLOYMENT_RATE,AVERAGE_SALARY/MON,MORTALITY_RATE
Alabama,0.640695428,0.641025641,0.639318081,0.645994832,0.656565657,0.66338135,0.649819495,0.645473334,0.642908456,0.653846154,0.652910896,0.651105651,0.648587081,4799918,9.6,41415,8.2
Alaska,1.48,1.157649379,1.184576499,1.151761518,1.152264654,1.142019616,1.121281465,1.139981346,1.139224138,1.127259036,1.139285714,1.116656269,1.170996636,722713,7.6,67825,3.8
Arizona,0.754842665,0.742574257,0.738289206,0.750661491,0.750187547,0.74339207,0.729684408,0.726232394,0.720207254,0.717543578,0.713640652,0.712694878,0.7333292,6467163,9.5,46709,5.9
Arkansas,0.590909091,0.578244405,0.596304599,0.611111111,0.615212528,0.625,0.625,0.629037742,0.618394705,0.625,0.620475698,0.627853881,0.613545313,2939493,8.3,38758,7.4
California,1.449975834,1.439759036,1.428571429,1.435185185,1.438098714,1.420454545,1.388050694,1.372369625,1.347653246,1.350877193,1.355932203,1.352907311,1.398319585,37676861,11.7,57287,4.8
Colorado,0.8887,0.966,0.8,0.943396226,0.934517427,0.916248728,0.914340712,0.910364146,0.923784985,0.918035876,0.913183888,0.912515216,0.911757267,5118360,8.4,55387,5.6
Connecticut,1.25432526,1.27064803,1.318319143,1.391096979,1.412932397,1.356,1.301631134,1.264880952,1.241868717,1.236263736,1.223414781,1.213381905,1.29039692,3589893,8.8,65753,5.1
Delaware,0.794199411,0.79245283,0.789527488,0.78125,0.809022908,0.79245283,0.81431235,0.830511824,0.824726581,0.832251082,0.819948425,0.833333333,0.809499089,907924,7.5,58814,8.7
District of Columbia,2.598566308,2.450713842,2.410714286,2.367880909,2.404495801,2.530819434,2.440442428,2.470843333,2.453653217,2.558461192,2.536379769,2.446982055,2.472496048,620477,10.2,44299,7.5
Florida,1.080246914,1.0875,1.076923077,1.080108011,1.071122536,1.046511628,1.043478261,1.042471042,1.058823529,1.062465903,1.07045543,1.076095311,1.066350137,19096952,10,46007,6.4
Georgia,0.685871056,0.689017275,0.687568757,0.694444444,0.690226394,0.683616097,0.676090965,0.672004164,0.667938931,0.663281421,0.659824047,0.655864198,0.677145646,9811610,10.2,61821,6.8
